sentence,expected,predicted
"El que ríe último, ríe mejor",A2,C2
Más vale tarde que nunca,A2,A2
"De tal palo, tal astilla",A2,A2
"A quien madruga, Dios le ayuda",A2,A2
"Quien busca, encuentra",A2,C2
Roma no se construyó en un día,A2,B1
El silencio otorga consentimiento,A2,C2
"Donde hay voluntad, hay un camino",A2,A2
Dicen que el amor es ciego,A2,A2
Una piedra que rueda no junta musgo,A2,C2
Es porque no quieres estar solo,A2,A2
No puedo vivir ese tipo de vida,B1,A2
Estoy sin palabras,A2,A2
Nada es bello excepto la verdad,B1,C2
La vida es hermosa,B1,A1
Me haces soñar,B1,A2
Es una pena cuando alguien muere,B1,C2
Nuestra opinión es una idea que tenemos; nuestra convicción es una idea que nos tiene,B1,C2
La vida es una enfermedad de transmisión sexual fatal,B1,C2
El todo es mayor que la suma de las partes,B1,C2
Este es el pueblo del que te hablé,B2,B1
Este es el chico en el que pienso,B2,A2
Se le ha advertido en varias ocasiones,B2,B1
Siempre me he preguntado cómo sería tener hermanos,B2,C2
Ella está preguntando cómo es eso posible,B2,B1
La última persona a la que le conté mi idea pensó que estaba loco,B2,B1
Es una palabra para la que me gustaría encontrar un sustituto,B2,C2
No sé a qué te refieres,B2,A2
No sabía de dónde venía,B2,B1
¿Con quién estoy hablando?,B2,A1
Sabía que él aceptaría,B2,B1
"Si pudiera enviarte un malvavisco, lo haría",C1,B2
"Si no hubiera dado respuesta, no habría hablado",C1,C1
"Si no puedes tener hijos, siempre podrías adoptar",B2,C1
"Si no comes, mueres",B2,B1
"Si ves un error, por favor corrígelo",B2,B2
"Si no tienes nada que hacer, mira el techo de tu habitación",B2,B1
"Si levantas una ceja, puede significar…",B2,B1
"Si dos hombres siempre tienen la misma opinión, uno de ellos es innecesario",B2,C2
"Si no hay solución, entonces no hay problema",B2,C2
Es mejor ser odiado por lo que eres que amado por lo que no eres,B1,C2
No es raro en absoluto vivir más de noventa años,B1,C2
La educación en este mundo me decepciona,B1,C2
Supongo que es diferente cuando lo piensas a largo plazo,B1,C2
Creo que tengo una teoría al respecto,B1,B2
La inocencia es una cosa hermosa,B1,C2
Los humanos nunca estuvieron destinados a vivir para siempre,B1,C2
La libertad consiste en poder hacer todo lo más inofensivo posible,B1,C2
Una verdad matemática no es ni simple ni complicada; simplemente es,B1,C2
"Los matemáticos son poetas, excepto que tienen que probar lo que su fantasía crea",B1,C2
Estoy embarazada de cuatro meses,A2,A1
"Poco a poco, notarás mejoras en tus escritos",B2,B1
¿Cómo puedes tener una laptop y no un teléfono celular?,B2,A2
Voy a dispararle,B2,B1
Voy a llevar mi coche,B2,B1
Voy a tomar un baño,B2,B1
Pensé que era verdad,B2,B1
Ellos discutieron,B2,B1
Tomaste la llave equivocada,B2,B1
Logré entrar,B2,B1
Estuve en las montañas,B2,B1
Nunca me gustó la biología,B2,B1
Una vez quise ser astrofísico,B2,B1
No me gustó,B2,A2
Ganamos la batalla,B2,B1
Fui al zoológico ayer,B2,B1
Vi televisión esta mañana,B2,B1
Dormí un poco durante el almuerzo porque estaba muy cansado,B2,B1
Empecé a aprender chino la semana pasada,B2,B1
",Algún día compraré una máquina de algodón de azúcar",B2,B1
El comunismo nunca se alcanzará en mi vida,B1,C2
El creacionismo es una pseudociencia,B1,C2
"Las matemáticas son como el amor: una idea simple, pero puede volverse complicada",B1,C2
La mayoría de los avances científicos no son más que el descubrimiento de lo obvio,B1,C2
El cerebro es solo una máquina complicada,B1,C2
Un metro cúbico corresponde a 1000 litros,B1,A1
La discrepancia entre las versiones…,B1,C2
La formación y el movimiento de los huracanes…,B1,C2
La ceguera es responsable de un asombroso costo…,B1,C2
Las universidades y colegios privados de Estados Unidos son autónomos,B1,C2
Es inútil seguir pensando más,B1,C2
