sentence,expected
"Quiero que vengas a mi fiesta.",B1
"Espero que no llueva mañana.",B1
"Cuando era pequeño, jugaba en el patio con mis primos.",B1
"De niño, siempre leía cuentos antes de dormir.",B1
"El año pasado viajé a Perú y fue inolvidable.",B1
"Antes vivía en Sevilla, pero me mudé a Bilbao.",B1
"Estoy a punto de salir; voy a llegar tarde.",B1
"Me gustaría que me ayudaras con este proyecto.",B2
"Es importante que estudies para el examen.",B1
"Busco un piso que sea tranquilo y luminoso.",B1
"Quiero que sepas que te apoyo.",B1
"Temo que no haya tiempo suficiente.",B1
"Me alegra que estés aquí.",B1
"Es mejor que cojas el tren.",B1
"Tal vez llegue más tarde; no estoy seguro.",B1
"Pensaba ir al cine, pero al final me quedé en casa.",B1
"¿Has visto la película que te recomendé?",B1
"Me parece bien que cambiemos el plan.",B1
"Fue entonces cuando entendí lo que pasaba.",B1
"Si tuviera tiempo, viajaría por el mundo.",B2
"Quería que vinieras, aunque fuera difícil.",B2
"Aunque llueva, iremos al concierto.",B2
"Me gustaría que me lo explicaras con detalle.",B2
"Dudaba que ellos supieran la respuesta.",B2
"Era necesario que actuáramos con prudencia.",B2
"Si hubieras venido, habríamos terminado antes.",B2
"Me molestó que hablaran tan alto en la reunión.",B2
"Sin embargo, no comparto esa opinión.",B2
"Por lo tanto, deberíamos reconsiderar la propuesta.",B2
"Además, hay que tener en cuenta los costos.",B2
"Aun cuando parecía fácil, resultó complejo.",B2
"Es probable que lleguen más tarde de lo previsto.",B2
"Buscaba a alguien que tuviera experiencia.",B2
"No creo que sea necesario cambiar todo.",B2
"Me sorprendió que lo hicieran sin avisar.",B2
"De tal palo, tal astilla.",B2
"A buen entendedor, pocas palabras bastan.",B2
"Quien mal anda, mal acaba.",B2
"Por más que le insistiera, no aceptó.",B2
"Apenas hube terminado, salí corriendo.",C1
"Cuando hube leído la carta, entendí la situación.",C1
"Para entonces, se habrá resuelto el conflicto.",C1
"Para mañana, ya habré terminado el informe.",C1
"Si hubieras sabido la verdad, no habrías dicho nada; al fin y al cabo, todos cometemos errores.",C1
"No hay mal que por bien no venga; a la postre, aprendimos mucho.",C1
"De haberlo sabido, habría actuado de otra manera.",C1
"Ojalá hubiera podido acompañarte ayer.",C1
"Quisiera que te hubieras quedado un poco más.",C1
