sentence,expected,predicted,reasoning
Fue entonces cuando entendí lo que pasaba.,B1,B2,"Temporal clause with indicative, not a formal or rare structure."
"De niño, siempre leía cuentos antes de dormir.",B1,B2,Imperfect tense used for past habits and states.
Estoy a punto de salir; voy a llegar tarde.,B1,A2,"Use of estar a punto de + infinitive, common A2 structure for near future plans."
Busco un piso que sea tranquilo y luminoso.,B1,B2,Relative clause with subjunctive (specific).
Tal vez llegue más tarde; no estoy seguro.,B1,B2,"Expresses possibility with tal vez, indicative mood for future uncertainty."
Fue entonces cuando entendí lo que pasaba.,B1,B2,"Temporal clause with indicative, not a formal or rare structure."
Me gustaría que me lo explicaras con detalle.,B1,B2,"Polite request using conditional + subjunctive, common in B2 level."
Era necesario que actuáramos con prudencia.,B2,B1,"Es/necesario que + subjunctive, which is a B1 level structure."
Me molestó que hablaran tan alto en la reunión.,B2,B1,"Emotion verb + subjunctive, but within B1 complexity level."
"De tal palo, tal astilla.",B2,C1,Proverbial expression with formal register.
"Quien mal anda, mal acaba.",B2,C1,Proverbial expression with formal register.
"Si hubieras sabido la verdad, no habrías dicho nada; al fin y al cabo, todos cometemos errores.",C1 (complex discourse + connectors),C1,Complex conditional with type-3 construction and formal expression 'al fin y al cabo'.
Quisiera que te hubieras quedado un poco más.,C1,B2,"Polite wish with pluperfect subjunctive, but not genuinely rare or sophisticated register shift as required for C1."
"A poco que te esfuerces, lo habrás conseguido.",C1,B2,A poco que + subjunctive with future perfect (not C1).
"Por mucho que dijeran, no habría cambiado de opinión.",C1,B2,Por mucho que + indicative (hypothetical concession).
"Ni que lo hubieras hecho tú, habría salido mejor.",C1,B2,"Type-3 conditional with pluperfect subjunctive, but not a formal or rare structure as required for C1."
Habíamos pensado que se habría resuelto antes.,C1,B2,"Pluscuamperfecto + condicional perfecto, both B2 level structures."
"Si para entonces hubiere terminado, me avisará.",C1,B2,"Future perfect subjunctive is B2 level, not C1."
"Quien hubiera querido participar, habría podido hacerlo.",C1,B2,Type-3 conditional with imperfect subjunctive and conditional perfect.
"Que venga quien quiera; los demás, que esperen fuera.",B2,C1,Formal register shift with subjunctive.
Me temo que no lleguemos a tiempo.,B1,B2,"Formal expression me temo que + subjunctive, which is common in B2 level formal contexts."
"Sin que nadie lo advirtiera, cambió de plan.",B2,C1,Complex formal construction with subjunctive.
"Si para entonces hubiere llegado, le notificaremos.",C1,B2,Future perfect subjunctive (not genuinely rare or rarely used at C1 level).
"Tan pronto como hubieron salido, empezó la lluvia.",C1,B2,Pluperfect subjunctive in a temporal clause (not genuinely rare).
"Quien no hubiera estudiado, habría suspendido.",C1,B2,Type-3 conditional with imperfect subjunctive and conditional perfect.
"En caso de que hubiere nuevas evidencias, se revisará el informe.",C1,B2,In case of + pluperfect subjunctive (hypothetical scenario).
He visitado a mis abuelos este fin de semana.,B1,A2,Present perfect indicating recent past actions.
Deberías descansar; estás muy cansado.,A2,B1,"Should + infinitive and estar + adjective, both common B1 structures."
"Me duele la cabeza, pero sigo trabajando.",B1,A2,"Coordinated clauses with pero, basic present tense."
"En caso de que hubiere nuevas pruebas, se revisará el caso.",C1,B2,"Conditional clause with pluperfect subjunctive, but not genuinely rare or sophisticated register shift as required for C1."
Me llamo Luis y vivo en Valencia.,A1,A2,Basic self-introduction with present tense and location.
Necesito agua...,A2,A1,Basic present tense need expression.
"Estoy de acuerdo, pero no entiendo todo.",B1,A2,Coordinated clauses with pero and basic agreement expression.
Como pan y bebo agua.,A1,B2,"This phrase does not fit the C1 criteria as it is an idiom expressing simplicity or frugality, but it uses a simple construction without complex subjunctive or formal structures typical of C1 level."
Prefiero que me llames por la tarde.,B2,B1,"Preference expression with subjunctive, common B1 level construction."
Creo que mañana hará sol.,B1,A2,Present tense prediction using creo que + future simple.
Ojalá tengamos vacaciones pronto.,B1,B2,Ojalá + present subjunctive for near future wish.
Me alegro mucho de que hayas venido.,B1,B2,"Expression of joy with present perfect subjunctive, common B2 level construction."
He estado enfermo toda la semana.,B1,A2,Present perfect indicating a continuous state over a period of time.
Hace tres años que estudio español.,B1,B2,Present perfect with duration since a past time (for X years).
"Aunque estaba cansado, terminé el trabajo.",B2,B1,Aunque + imperfect indicative (background condition).
Espero que hayas tenido buen viaje.,B1,B2,"Present perfect subjunctive, common in B2 level for wishes and hopes about past events."
Me da igual que llueva o haga sol.,B2,A2,"Simple expression of indifference using present tense, no subjunctive required."
"Con tal de que no se entere nadie, lo hago.",C1,B2,Con tal de que + subjunctive (common conditional structure).
"Por más que lo intento, no logro entenderlo.",C1,B2,Por más que + indicative (hypothetical concession).
"Mal que le pese, tendrá que disculparse.",C1,B2,"Formal adversative construction with future tense, not requiring C1 level formal subjunctive."
Me gustaría que me ayudaras mañana.,B1,B2,Polite request using conditional (future courtesy).
Es una pena que no hayas podido venir.,B1,B2,"Expression of regret with present perfect subjunctive, common in B2 level."
No entiendo por qué se enfadó tanto.,B1,B2,"Why-clause with indicative, expressing confusion or complaint."
Ojalá llueva esta noche.,B1,B2,Ojalá + present subjunctive (hope for future event).
"Siempre y cuando me avises con tiempo, no hay problema.",C1,B2,Conditional phrase 'siempre y cuando' with subjunctive (not rare enough for C1).
Prefiero que me llames por la tarde.,B2,B1,"Preference expression with subjunctive, common B1 level construction."
