previous_predicted,sentence,expected,predicted,reasoning
A2,Intentemos algo.,A2,B2,"The sentence uses the subjunctive mood ('intentemos') in a common context of making suggestions, which aligns with B2 level grammar. It does not contain academic or abstract language, so it does not reach C2."
A1,Tengo que irme a dormir.,A2,A2,"The sentence uses the modal verb structure 'tener que' (have to), which is a key indicator of A2 level. The rest of the sentence is a simple infinitive phrase with basic vocabulary."
A1,Hoy es 18 de junio y es el cumpleaños de Muiriel.,A1,A1,"The sentence uses simple present tense with basic vocabulary to state a date and a birthday. There are no idioms, connectors, or complex grammar structures, which aligns with A1 level."
A1,Muiriel tiene 20 años ahora.,A1,A1,"The sentence uses a simple present tense structure with basic vocabulary to state age, which aligns with A1 criteria."
A1,"La contraseña es ""Muiriel"".",A1,A1,"The sentence uses a simple present tense structure with basic vocabulary ('contraseña', 'es', and a proper noun). There are no idioms, connectors, or complex grammar, which aligns with A1 level."
A1,Volveré pronto.,A1,B1,"The sentence uses the future tense 'volveré', which is included in B1 level grammar as per the guidelines."
A1,Estoy sin palabras.,A1,A2,"The sentence uses an idiomatic expression ('sin palabras' meaning 'at a loss for words'), which aligns with A2 level criteria for idiomatic expressions and basic emotional states."
A2,Esto nunca va a terminar.,A2,B1,"The sentence uses the future tense ('va a terminar'), which is a B1-level grammatical structure. It is a straightforward statement without complex connectors, subjunctive mood, or abstract/philosophical content, which would be required for higher levels like C2."
B1,Simplemente no sé qué decir.,B1,A2,"The sentence uses the present tense and an idiomatic expression ('no sé qué decir') to express uncertainty, which aligns with A2 level criteria. It does not include complex grammar, connectors, or abstract concepts typical of higher levels."
A1,Ese era un conejo malvado.,A1,B1,"The sentence uses the imperfect tense ('era'), which is part of B1 level grammar. The vocabulary is basic, but the use of past tense aligns with B1 criteria."
A1,Estuve en las montañas.,A1,B1,"The sentence uses the preterite tense ('Estuve'), which is a past tense form covered at the B1 level. The vocabulary is basic and there are no complex structures, idioms, or academic terms. This aligns with B1's focus on past and future tenses for everyday contexts."
A2,¿Es una foto reciente?,A2,A1,"The sentence uses a simple present tense question structure with basic vocabulary ('es', 'foto', 'reciente'). There are no idioms, connectors, or complex grammar, which aligns with A1 criteria."
A2,No sé si tengo tiempo.,A2,A2,"The sentence uses a basic structure with the present tense of 'saber' (sé) and 'tener' (tengo), combined with the conditional conjunction 'si' to express uncertainty. This is a common everyday expression and does not involve complex grammar, academic vocabulary, or abstract concepts."
B1,La educación en este mundo me decepciona.,B1,C2,"The sentence expresses an abstract, philosophical opinion about education in the world, which aligns with C2-level content despite using simple present tense. The thematic depth and personal reflection on a societal issue are characteristic of advanced language use."
A2,Estás en mejor forma que yo.,A2,B1,"The sentence uses a comparison structure ('mejor forma que yo') which is part of everyday reasoning, a key feature of B1 level. It does not include past/future tenses or complex grammar, but the comparative construction aligns with B1's focus on expressing opinions and comparisons."
A1,Estás en mi camino.,A1,A1,"The sentence uses simple present tense with basic vocabulary ('estás', 'mi', 'camino') and no idiomatic expressions, modal verbs, or complex structures. It is a straightforward statement of location, typical of A1 level."
A1,Esto costará 30 €.,A1,B1,"The sentence uses the future tense ('costará'), which is categorized under B1 according to the guidelines. It is a straightforward statement without complex connectors, subjunctive mood, or abstract/philosophical content."
A1,Gano 100 € al día.,A1,A1,"The sentence uses a simple present tense verb ('gano') with basic vocabulary to state a daily income. It contains no idioms, connectors, or complex grammar structures, aligning with A1 criteria."
B2,Puede que me rinda pronto y simplemente tome una siesta en su lugar.,B2,B2,"The sentence uses the subjunctive mood ('me rinda', 'tome') and the conditional structure 'Puede que', which are typical of B2 level. The vocabulary and context are everyday, not abstract or academic, so it does not reach C2."
B1,Es porque no quieres estar solo.,B1,C2,"The sentence discusses a psychological or philosophical insight about human behavior (not wanting to be alone), which aligns with C2's focus on abstract or philosophical content, even though the grammar is simple."
A2,Eso no va a pasar.,A2,B1,"The sentence uses the future tense construction 'va a pasar' (will happen), which is a key indicator of B1 level as it involves future tense usage. The structure is straightforward without complex connectors or subjunctive mood."
B1,A veces puede ser un tipo extraño.,B1,A2,"The sentence uses a modal verb structure ('puede ser') and basic vocabulary, which aligns with A2 level. There are no complex grammatical structures or abstract concepts, but the use of 'puede' (can/may) indicates modal verb usage typical of A2."
B1,Haré mi mejor esfuerzo para no interrumpir tu estudio.,B1,B2,"The sentence uses future tense ('Haré') and a subordinate clause ('para no interrumpir tu estudio'), which aligns with B2 complexity. While it is polite and formal, it lacks abstract or academic content, which would classify it as C2. The structure and vocabulary are typical of B2 level discourse."
