cefr_level,translation
A2,Intentemos algo.
A1,Tengo que irme a dormir.
A1,Hoy es 18 de junio y es el cumpleaños de Muiriel.
A1,Muiriel tiene 20 años ahora.
A1,"La contraseña es ""Muiriel""."
A1,Volveré pronto.
A1,Estoy sin palabras.
A2,Esto nunca va a terminar.
B1,Simplemente no sé qué decir.
A1,Ese era un conejo malvado.
A1,Estuve en las montañas.
A2,¿Es una foto reciente?
A2,No sé si tengo tiempo.
B1,La educación en este mundo me decepciona.
A2,Estás en mejor forma que yo.
A1,Estás en mi camino.
A1,Esto costará 30 €.
A1,Gano 100 € al día.
B2,Puede que me rinda pronto y simplemente tome una siesta en su lugar.
B1,Es porque no quieres estar solo.
A2,Eso no va a pasar.
B1,A veces puede ser un tipo extraño.
B1,Haré mi mejor esfuerzo para no interrumpir tu estudio.
C1,Solo puedo preguntarme si esto es lo mismo para los demás.
B2,Supongo que es diferente cuando lo piensas a largo plazo.
A1,Te extraño.
B1,Los llamaré mañana cuando regrese.
B1,Siempre me han gustado más los personajes misteriosos.
A1,Deberías dormir.
A1,Voy a irme.
B2,Les dije que me enviaran otro boleto.
B1,Eres tan impaciente conmigo.
B1,No puedo vivir ese tipo de vida.
B1,Una vez quise ser astrofísico.
A2,Nunca me gustó la biología.
B2,La última persona a la que le conté mi idea pensó que estaba loco.
C1,"Si el mundo no estuviera en la situación en la que está ahora, podría confiar en cualquiera."
B2,Es lamentablemente cierto.
B2,Están demasiado ocupados peleando entre ellos para preocuparse por ideales comunes.
B1,La mayoría de la gente piensa que estoy loco.
A1,"¡No, yo no lo soy; tú lo eres!"
A1,¡Esa es MI línea!
A1,¡Él me está pateando!
A1,¿Estás seguro?
B2,Entonces hay un problema...
A1,"¡Oh, hay una mariposa!"
A1,Apúrate.
A1,No me sorprende.
B1,"Por alguna razón, me siento más vivo por la noche."
B2,Depende del contexto.
A2,¿Estás bromeando?!
B1,Esa es la cosa más estúpida que he dicho jamás.
A2,No quiero ser aburrido; ¡quiero ser genial!
B1,"Cuando crezca, quiero ser rey."
C1,"América es un lugar encantador para estar, si estás aquí para ganar dinero."
A1,Estoy tan gordo/a.
A1,¿Y qué?
B1,Voy a dispararle.
C2,"No soy un pez de verdad, solo soy un simple peluche."
A2,¡Solo estoy diciendo!
C1,Eso fue probablemente lo que influyó en su decisión.
B1,Siempre me he preguntado cómo sería tener hermanos.
C1,Esto es lo que habría dicho.
C1,Me llevaría una eternidad explicarlo todo.
B1,Eso es porque eres una chica.
B1,A veces no puedo evitar mostrar mis emociones.
C1,Es una palabra para la que me gustaría encontrar un sustituto.
C1,Sería algo que tendría que programar.
B1,No tengo la intención de ser egoísta.
C1,Consideremos lo peor que podría pasar.
A1,¿Cuántos amigos cercanos tienes?
B2,"Puedo ser antisocial, pero eso no significa que no hable con la gente."
B1,Así ha sido siempre.
B1,Creo que lo mejor es no ser descortés.
B1,Siempre se puede encontrar tiempo.
C1,"Estaría infeliz, pero no me quitaría la vida."
B1,"En la secundaria, me levantaba a las 6 de la mañana todos los días."
B1,"Cuando me desperté, estaba triste."
B2,Eso se explica en parte al final.
B1,Pensé que te gustaba aprender cosas nuevas.
B1,La mayoría de las personas escriben sobre su vida diaria.
C1,"Si pudiera enviarte un malvavisco, Trang, lo haría."
B2,"Para lograr eso, tienes que asumir riesgos."
C2,Cada persona que está sola lo está porque tiene miedo de los demás.
A1,¿Por qué preguntas?
B1,No soy un artista. Nunca tuve el don para eso.
B1,No puedo decírselo ahora. Ya no es tan simple.
